Banco de Chile - Cartola Cuenta Corriente
Titular: JUAN PEREZ SINTETICO
Cuenta Corriente N: 00-123-45678-90
Fecha de Emision: 28/02/2026

Fecha;Descripcion;Canal o Sucursal;Cargos (PESOS);Abonos (PESOS);Saldo (PESOS)
01/02;SALDO INICIAL;;;;160.500
03/02;ABONO SUELDO EMPRESA SINTETICA SPA;OFICINA CENTRAL;;1.850.000;2.010.500
04/02;COMPRA INT WEBPAY TRANSBANK 4821 SUPERMERCADO LIDER LAS CONDES;INTERNET;85.400;;1.925.100
05/02;PAGO TARJETA DE CREDITO CMR;SUCURSAL LAS CONDES;120.000;;1.805.100
06/02;TRANSFERENCIA A CUENTA PROPIA BANCOESTADO;INTERNET;200.000;;1.605.100
07/02;COMPRA NACIONAL COPEC PROVIDENCIA;INTERNET;38.500;;1.566.600
10/02;COMISION MANTENCION CUENTA;OFICINA CENTRAL;5.900;;1.560.700
12/02;NETFLIX.COM SUSCRIPCION;INTERNET;9.900;;1.550.800
14/02;COMPRA REDCOMPRA FARMACIA CRUZ VERDE NUNOA;INTERNET;12.340;;1.538.460
18/02;TRANSFERENCIA DE MARIA SINTETICA;INTERNET;;45.000;1.583.460
20/02;PAGO PAT ENEL DISTRIBUCION;INTERNET;42.150;;1.541.310
25/02;UBER *TRIP SANTIAGO;INTERNET;7.890;;1.533.420
28/02;COMPRA EN LINEA MERCADO LIBRE CHILE;INTERNET;59.990;;1.473.430
28/02;SALDO FINAL;;;;1.473.430
